attendance,study_hours,assignments,quiz,lms_logins,engagement,missed_tasks,productivity,pass_probability,risk,expected_grade
80,0,0,60,3,48,1,36,36,High,At Risk
87,0,5,94,1,95,3,59,62,High,At Risk
42,0,0,52,3,84,4,16,20,High,At Risk
41,4,1,94,6,48,3,44,47,High,At Risk
77,2,0,45,11,74,2,44,39,High,At Risk
57,1,1,68,1,31,3,27,25,High,At Risk
46,2,2,58,12,25,5,30,22,High,At Risk
69,4,0,73,1,90,2,46,47,High,At Risk
93,5,4,71,9,44,5,62,56,Medium,C
44,0,5,54,12,57,0,58,59,High,At Risk
94,1,0,73,4,78,5,33,28,High,At Risk
93,2,1,72,5,46,5,37,31,High,At Risk
57,5,5,34,9,41,4,53,42,High,At Risk
86,1,1,84,6,54,5,37,34,High,At Risk
84,4,1,66,12,27,1,59,60,High,At Risk
92,0,2,76,4,28,1,49,52,High,At Risk
98,4,5,65,3,83,3,69,66,Medium,C
96,5,3,43,4,37,1,63,60,Medium,C
87,4,4,58,11,94,3,69,65,Medium,C
97,4,3,71,3,37,4,53,49,High,At Risk
71,0,0,39,2,100,1,34,30,High,At Risk
90,5,3,33,6,68,4,53,42,High,At Risk
69,4,2,95,0,34,5,40,39,High,At Risk
96,4,2,68,1,57,3,52,50,High,At Risk
50,3,0,58,8,42,4,29,23,High,At Risk
98,0,5,63,10,84,4,60,55,Medium,C
52,1,2,45,8,87,0,50,49,High,At Risk
78,2,3,27,1,66,2,42,33,High,At Risk
55,0,1,97,1,30,5,21,20,High,At Risk
71,6,0,93,12,36,1,61,68,Medium,C
82,3,4,46,4,87,4,51,42,High,At Risk
67,1,4,50,11,59,3,50,44,High,At Risk
82,5,2,81,8,77,0,75,81,Medium,B
55,1,0,68,0,95,4,24,20,High,At Risk
54,4,1,25,1,100,0,46,41,High,At Risk
54,0,0,67,1,85,1,32,33,High,At Risk
57,5,3,52,8,36,5,43,33,High,At Risk
99,4,4,85,3,80,3,69,70,Medium,C
52,0,0,80,5,74,3,29,29,High,At Risk
69,6,5,31,10,32,0,72,68,Medium,B
65,5,2,38,3,44,1,50,46,High,At Risk
74,3,1,79,2,55,3,43,43,High,At Risk
55,6,0,81,12,90,0,64,70,Medium,C
43,5,4,26,1,50,1,49,42,High,At Risk
66,3,3,52,6,27,1,53,51,High,At Risk
64,0,3,58,12,78,2,49,47,High,At Risk
67,5,5,96,10,82,1,85,92,Low,B+
52,2,1,32,9,89,0,47,43,High,At Risk
87,2,0,31,9,81,4,35,23,High,At Risk
98,6,4,45,0,85,0,73,72,Medium,B
94,1,0,33,10,50,3,36,27,High,At Risk
47,4,1,99,9,25,4,43,45,High,At Risk
45,3,5,99,9,86,2,70,76,Medium,B
99,2,1,65,3,53,3,44,41,High,At Risk
48,5,5,63,7,60,0,73,76,Medium,B
40,3,4,97,1,29,4,42,43,High,At Risk
53,4,2,41,5,28,1,45,41,High,At Risk
63,2,1,81,8,58,4,40,38,High,At Risk
91,5,4,26,10,90,2,70,61,Medium,B
99,5,0,42,4,34,0,56,54,High,At Risk
87,4,1,59,4,97,1,59,59,High,At Risk
85,2,1,58,8,82,2,51,49,High,At Risk
97,6,0,36,10,74,2,56,49,High,At Risk
42,0,2,41,10,53,1,38,34,High,At Risk
87,3,4,79,8,21,0,73,79,Medium,B
44,5,1,94,0,67,4,40,41,High,At Risk
75,1,3,41,0,59,2,40,34,High,At Risk
97,6,0,70,3,51,5,41,35,High,At Risk
46,2,4,77,9,39,1,58,61,High,At Risk
95,1,1,77,0,42,5,30,25,High,At Risk
99,2,3,56,4,40,5,42,33,High,At Risk
46,3,0,85,3,45,3,33,34,High,At Risk
62,2,1,53,0,44,3,28,23,High,At Risk
61,2,0,60,5,85,3,35,31,High,At Risk
83,6,4,67,0,34,2,61,60,Medium,C
51,4,2,29,1,96,3,37,27,High,At Risk
62,5,2,80,9,85,0,72,78,Medium,B
64,4,1,57,0,75,0,51,52,High,At Risk
73,6,4,50,5,75,0,72,72,Medium,B
100,5,2,65,10,35,5,54,47,High,At Risk
97,2,4,64,10,72,2,68,67,Medium,C
65,5,2,95,2,44,3,53,56,High,At Risk
82,3,5,47,9,92,2,69,64,Medium,C
65,4,0,63,4,46,3,37,34,High,At Risk
90,4,4,66,7,76,3,66,63,Medium,C
83,1,4,85,12,41,5,51,48,High,At Risk
45,2,4,67,1,50,5,33,26,High,At Risk
59,1,1,43,0,25,1,29,26,High,At Risk
70,4,0,83,6,100,4,46,45,High,At Risk
52,5,5,74,7,71,1,73,76,Medium,B
49,5,5,25,12,33,3,54,43,High,At Risk
54,1,5,91,7,26,4,48,48,High,At Risk
55,6,0,83,2,79,5,35,32,High,At Risk
73,4,4,65,12,76,4,61,56,Medium,C
92,5,4,79,8,77,1,82,86,Low,B+
87,6,3,82,4,51,5,54,50,High,At Risk
57,6,4,87,10,50,2,70,73,Medium,B
68,0,5,61,3,54,2,50,48,High,At Risk
60,4,0,42,2,49,3,30,22,High,At Risk
84,1,5,52,1,73,3,51,45,High,At Risk
61,4,3,78,0,46,3,47,47,High,At Risk
64,6,4,27,12,93,3,60,49,Medium,C
70,0,2,63,12,69,3,43,40,High,At Risk
74,5,5,94,12,97,1,88,95,Low,B+
71,1,2,80,7,23,3,42,42,High,At Risk
61,5,5,76,11,41,3,68,67,Medium,C
98,1,4,93,0,70,4,53,54,High,At Risk
76,5,0,35,10,74,1,54,49,High,At Risk
95,3,1,31,4,68,2,46,38,High,At Risk
53,3,2,68,12,68,2,53,53,High,At Risk
88,6,3,57,1,80,0,69,70,Medium,C
87,4,0,69,3,28,5,33,27,High,At Risk
42,6,0,56,3,22,4,26,20,High,At Risk
49,1,1,85,10,34,4,34,33,High,At Risk
100,1,3,57,12,67,1,64,63,Medium,C
78,4,5,39,12,40,2,65,59,Medium,C
46,4,0,64,9,68,3,40,37,High,At Risk
100,5,1,34,9,100,1,66,61,Medium,C
46,5,2,40,12,92,0,62,60,Medium,C
62,4,3,72,1,84,5,43,37,High,At Risk
61,0,3,87,1,75,2,45,48,High,At Risk
80,6,3,44,6,42,5,46,35,High,At Risk
73,5,2,93,12,81,3,66,69,Medium,C
67,6,5,100,4,61,1,78,86,Medium,B
93,0,2,82,3,79,4,43,41,High,At Risk
79,5,3,68,0,83,2,61,61,Medium,C
51,3,1,70,12,53,2,47,47,High,At Risk
57,4,5,60,8,21,4,52,46,High,At Risk
100,1,0,55,11,72,3,44,39,High,At Risk
75,6,1,85,10,82,3,61,62,Medium,C
90,0,0,62,3,71,5,25,20,High,At Risk
55,2,5,99,5,80,4,57,59,High,At Risk
73,2,3,95,5,65,5,47,46,High,At Risk
69,2,2,57,3,35,5,29,20,High,At Risk
52,2,0,93,12,43,1,48,55,High,At Risk
53,5,3,60,11,95,4,56,50,High,At Risk
78,2,0,49,4,49,2,36,32,High,At Risk
51,2,0,93,2,55,0,45,54,High,At Risk
43,4,2,41,10,82,0,57,55,High,At Risk
95,0,4,61,7,81,3,55,51,High,At Risk
